"SPECIES_CODE","SPECIES_COMMON","SPECIES_SCIENTIFIC","SOURCE_DOCUMENT","YEAR_START","YEAR_END","YEAR_PUBLISHED","YEAR_INTERNAL","PACFIN_SPID_CODE","COMMENTS","FISH_TICKET_REPORT_NAMES"
"690","shark, salmon","Lamna ditropis","AFS Fishes, 5th ed, 1991","1977","","1977","","","",""
"691","shark, spiny dogfish","Squalus acanthias","AFS Fishes, 5th ed, 1991","1979","","1998","","DSRK","","Sp. Dogfish     "
"692","Pacific sleeper shark","Somniosus pacificus","AFS Fishes, 5th ed, 1991","1998","","1998","","","",""
"700","skate, other","family Rajidae","AFS Fishes, 5th ed, 1991","1976","","1976","","USKT","",""
"701","skate, longnose","Raja rhina","AFS Fishes, 5th ed, 1991","1999","","1999","","LSKT","",""
"702","skate, big","Raja binoculata","AFS Fishes, 5th ed, 1992","1999","","1999","","BSKT","",""
"710","sablefish (blackcod)","Anoplopoma fimbria","AFS Fishes, 5th ed, 1991","1969","","1969","","SABL","",""
"714","ratfish, spotted","Hydrolagus colliei","AFS Fishes, 5th ed, 1991","1999","","1999","","","",""
"720","tuna, albacore","Thunnus alalunga","AFS Fishes, 5th ed, 1991","1993","","1993","","ALBC","",""
"750","swordfish","family Xiphiidae","AFS Fishes, 5th ed, 1991","1993","","","1993","SWRD","",""
"562","trout, cutthroat (nonanadromous)","Oncorhynchus clarki","AFS Fishes, 5th ed, 1991","1969","","1969","1999","","","Trout           "
"570","inconnu (sheefish)","Stenodus leucichthys","AFS Fishes, 5th ed, 1991","1969","","1969","1999","","","Sheefish        "
"580","whitefish, general","genus Coregonus","AFS Fishes, 5th ed, 1991","1969","","1969","1999","","","Whitefish       "
"583","whitefish, least cisco","Coregonus sardinella","AFS Fishes, 5th ed, 1991","1969","","1969","1999","","","Whitefish       "
"584","whitefish, Arctic cisco","Coregonus autumnalis","AFS Fishes, 5th ed, 1991","1969","","1969","1999","","","Whitefish       "
"585","whitefish, Bering cisco","Coregonus laurettae","AFS Fishes, 5th ed, 1991","1969","","1969","1999","","","Whitefish       "
"586","whitefish, round","Prosopium cylindraceum","AFS Fishes, 5th ed, 1991","1969","","1969","1999","","","Whitefish       "
"587","whitefish, pygmy","Prosopium coulteri","AFS Fishes, 5th ed, 1991","1969","","1969","1999","","","Whitefish       "
"588","whitefish, broad","Coregonus nasus","AFS Fishes, 5th ed, 1991","1969","","1969","1999","","","Whitefish       "
"589","whitefish, humpback","Coregonus pidschian","AFS Fishes, 5th ed, 1991","1969","","1969","1999","","","Whitefish       "
"590","burbot","Lota lota","AFS Fishes, 5th ed, 1991","1969","","1969","1999","","",""
"600","lamprey, Pacific","Lampetra tridentata","AFS Fishes, 5th ed, 1991","1983","","","","","",""
"601","lamprey, Arctic","Lampetra japonica","AFS Fishes, 5th ed, 1991","1983","","1983","1999","","",""
"602","lamprey, river","Lampetra ayresi","AFS Fishes, 5th ed, 1991","1983","","1983","1999","","",""
"603","lamprey, brook","genus Ichthyomyzon and Lampetra","AFS Fishes, 5th ed, 1991","1983","","1983","1999","","",""
"610","grayling, Arctic","Thymallus Arcticus","AFS Fishes, 5th ed, 1991","1983","","1983","1999","","",""
"625","jellyfish","class Scyphozoa","","2000","","2000","","","",""
"630","blackfish, Alaska","Dallia pectoralis","AFS Fishes, 5th ed, 1991","1980","","1983","1999","","",""
"640","longnose sucker","Catostomus catostomus","AFS Fishes, 5th ed, 1991","1983","","1983","1999","","",""
"511","smelt, eulachon","Thaleichthys Pacificus","AFS Fishes, 5th ed, 1991","1981","","1981","","EULC","",""
"512","smelt, longfin","Spirinchus thaleichthys","AFS Fishes, 5th ed, 1991","1983","","","1999","","",""
"513","smelt, rainbow","Osmerus mordax","AFS Fishes, 5th ed, 1991","1983","","1983","1999","","",""
"514","smelt, pond","Hypomesus olidus","AFS Fishes, 5th ed, 1991","1983","","1983","1999","","",""
"515","smelt, surf","Hypomesus pretiosus","AFS Fishes, 5th ed, 1991","1983","","1983","1999","","",""
"516","smelt, capelin","Mallotus villosus","AFS Fishes, 5th ed, 1991","1983","","1983","1999","CPLN","",""
"520","char, Arctic (general)","Salvelinus alpinus","AFS Fishes, 5th ed, 1991","1969","","1969","1999","","","Char            "
"521","char, Arctic (anadromous)","Salvelinus alpinus","AFS Fishes, 5th ed, 1991","1983","","1969","","","","Char            "
"522","char, Arctic (nonanadromous)","Salvelinus alpinus","AFS Fishes, 5th ed, 1991","1983","","1983","1999","","","Char            "
"530","Dolly Varden (general)","Salvelinus malma","AFS Fishes, 5th ed, 1991","1969","","1983","1999","","","Char            "
"532","Dolly Varden (nonanadromous)","Salvelinus malma","AFS Fishes, 5th ed, 1991","1969","","","1999","","","Char            "
